,Value
YYYY-34-DD 15:34:SS,190.9349823
YYYY-36-DD 15:36:SS,189.358139
YYYY-38-DD 15:38:SS,188.3327789
YYYY-40-DD 15:40:SS,189.8526459
YYYY-42-DD 15:42:SS,190.4001617
YYYY-44-DD 15:44:SS,192.3823395
YYYY-46-DD 15:46:SS,190.3878632
YYYY-48-DD 15:48:SS,184.511795
YYYY-50-DD 15:50:SS,184.8768005
YYYY-52-DD 15:52:SS,183.522049
YYYY-54-DD 15:54:SS,183.6166992
YYYY-56-DD 15:56:SS,183.1986694
YYYY-58-DD 15:58:SS,184.5073242
YYYY-00-DD 16:00:SS,184.5345917
YYYY-02-DD 16:02:SS,184.597641
YYYY-04-DD 16:04:SS,184.2485809
YYYY-06-DD 16:06:SS,185.1803436
YYYY-08-DD 16:08:SS,183.6037292
YYYY-10-DD 16:10:SS,183.866806
YYYY-12-DD 16:12:SS,183.3999481
YYYY-14-DD 16:14:SS,182.9292603
YYYY-16-DD 16:16:SS,182.6182709
YYYY-18-DD 16:18:SS,182.6694183
YYYY-20-DD 16:20:SS,182.7673035
YYYY-22-DD 16:22:SS,191.540451
YYYY-24-DD 16:24:SS,183.8769226
YYYY-26-DD 16:26:SS,183.3331909
YYYY-28-DD 16:28:SS,186.8600159
YYYY-30-DD 16:30:SS,184.665802
YYYY-32-DD 16:32:SS,184.2080994
YYYY-34-DD 16:34:SS,184.5599213
YYYY-36-DD 16:36:SS,183.9113312
YYYY-38-DD 16:38:SS,182.0824738
YYYY-40-DD 16:40:SS,183.7002106
YYYY-42-DD 16:42:SS,182.1582947
YYYY-44-DD 16:44:SS,185.3080597
YYYY-46-DD 16:46:SS,184.812027
YYYY-48-DD 16:48:SS,186.0245056
YYYY-50-DD 16:50:SS,184.9102783
YYYY-52-DD 16:52:SS,184.511734
YYYY-54-DD 16:54:SS,183.6183014
YYYY-56-DD 16:56:SS,184.4678497
YYYY-58-DD 16:58:SS,189.2204285
YYYY-00-DD 17:00:SS,182.0179749
YYYY-02-DD 17:02:SS,186.5920258
YYYY-04-DD 17:04:SS,185.2279663
YYYY-06-DD 17:06:SS,188.0216217
YYYY-08-DD 17:08:SS,186.0940552
YYYY-10-DD 17:10:SS,185.7481079
YYYY-12-DD 17:12:SS,186.3497009
YYYY-14-DD 17:14:SS,187.8067169
YYYY-16-DD 17:16:SS,185.6719055
YYYY-18-DD 17:18:SS,185.649704
YYYY-20-DD 17:20:SS,186.6841583
YYYY-22-DD 17:22:SS,187.7565765
YYYY-24-DD 17:24:SS,186.2960815
YYYY-26-DD 17:26:SS,185.3380585
YYYY-28-DD 17:28:SS,185.0151825
YYYY-30-DD 17:30:SS,186.9374542
YYYY-32-DD 17:32:SS,186.3080292
YYYY-34-DD 17:34:SS,185.7841339
YYYY-36-DD 17:36:SS,186.7986603
YYYY-38-DD 17:38:SS,185.6375275
YYYY-40-DD 17:40:SS,187.4297791
YYYY-42-DD 17:42:SS,183.3239746
YYYY-44-DD 17:44:SS,185.7266235
YYYY-46-DD 17:46:SS,185.076355
YYYY-48-DD 17:48:SS,184.8104401
YYYY-50-DD 17:50:SS,183.59375
YYYY-52-DD 17:52:SS,183.8450623
YYYY-54-DD 17:54:SS,184.1974792
YYYY-56-DD 17:56:SS,183.1322021
YYYY-58-DD 17:58:SS,183.1461182
YYYY-00-DD 18:00:SS,182.6986237
YYYY-02-DD 18:02:SS,180.749176
YYYY-04-DD 18:04:SS,181.9155731
YYYY-06-DD 18:06:SS,182.740799
YYYY-08-DD 18:08:SS,181.9821472
YYYY-10-DD 18:10:SS,183.1797028
YYYY-12-DD 18:12:SS,184.1777039
YYYY-14-DD 18:14:SS,184.6589508
YYYY-16-DD 18:16:SS,183.4501648
YYYY-18-DD 18:18:SS,182.9711304
YYYY-20-DD 18:20:SS,182.346756
YYYY-22-DD 18:22:SS,182.1851349
YYYY-24-DD 18:24:SS,184.3867798
YYYY-26-DD 18:26:SS,183.5672455
YYYY-28-DD 18:28:SS,183.2967224
YYYY-30-DD 18:30:SS,183.9091797
YYYY-32-DD 18:32:SS,183.0612183
YYYY-34-DD 18:34:SS,189.1985931
YYYY-36-DD 18:36:SS,182.5341187
YYYY-38-DD 18:38:SS,184.0787201
YYYY-40-DD 18:40:SS,183.0867615
YYYY-42-DD 18:42:SS,183.3638458
YYYY-44-DD 18:44:SS,184.9300385
YYYY-46-DD 18:46:SS,185.9014435
YYYY-48-DD 18:48:SS,183.9353485
YYYY-50-DD 18:50:SS,182.8743591
YYYY-52-DD 18:52:SS,183.4925537
YYYY-54-DD 18:54:SS,184.3368378
YYYY-56-DD 18:56:SS,183.3223267
YYYY-58-DD 18:58:SS,183.890686
YYYY-00-DD 19:00:SS,184.9100342
YYYY-02-DD 19:02:SS,186.5716858
YYYY-04-DD 19:04:SS,187.1005707
YYYY-06-DD 19:06:SS,185.6676788
YYYY-08-DD 19:08:SS,185.7908936
YYYY-10-DD 19:10:SS,184.6538086
YYYY-12-DD 19:12:SS,185.8741302
YYYY-14-DD 19:14:SS,185.2260132
YYYY-16-DD 19:16:SS,184.282196
YYYY-18-DD 19:18:SS,183.299881
YYYY-20-DD 19:20:SS,183.3299713
YYYY-22-DD 19:22:SS,184.9784546
YYYY-24-DD 19:24:SS,181.2772064
YYYY-26-DD 19:26:SS,181.6682434
YYYY-28-DD 19:28:SS,181.1721191
YYYY-30-DD 19:30:SS,182.1255341
YYYY-32-DD 19:32:SS,181.4185333
YYYY-34-DD 19:34:SS,190.0267944
YYYY-36-DD 19:36:SS,182.9451294
YYYY-38-DD 19:38:SS,185.3471832
YYYY-40-DD 19:40:SS,184.8188171
YYYY-42-DD 19:42:SS,184.6344452
YYYY-44-DD 19:44:SS,184.3218231
YYYY-46-DD 19:46:SS,186.6853485
YYYY-48-DD 19:48:SS,184.7468872
YYYY-50-DD 19:50:SS,183.6675568
YYYY-52-DD 19:52:SS,193.8616943
YYYY-54-DD 19:54:SS,184.9258423
YYYY-56-DD 19:56:SS,183.9028778
YYYY-58-DD 19:58:SS,184.3532104
YYYY-00-DD 20:00:SS,184.4580231
YYYY-02-DD 20:02:SS,182.4541321
YYYY-04-DD 20:04:SS,182.695816
YYYY-06-DD 20:06:SS,182.8858032
YYYY-08-DD 20:08:SS,185.0644836
YYYY-10-DD 20:10:SS,183.8471985
YYYY-12-DD 20:12:SS,183.6938629
YYYY-14-DD 20:14:SS,183.9579315
YYYY-16-DD 20:16:SS,184.4174652
YYYY-18-DD 20:18:SS,183.9394684
YYYY-20-DD 20:20:SS,184.6941071
YYYY-22-DD 20:22:SS,186.2239075
YYYY-24-DD 20:24:SS,185.1061401
YYYY-26-DD 20:26:SS,184.7287903
YYYY-28-DD 20:28:SS,184.5971069
YYYY-30-DD 20:30:SS,185.5295105
YYYY-32-DD 20:32:SS,184.1501617
YYYY-34-DD 20:34:SS,182.4745941
YYYY-36-DD 20:36:SS,184.2593079
YYYY-38-DD 20:38:SS,181.9361115
YYYY-40-DD 20:40:SS,183.7290955
YYYY-42-DD 20:42:SS,184.2670441
YYYY-44-DD 20:44:SS,185.7076416
YYYY-46-DD 20:46:SS,182.086441
YYYY-48-DD 20:48:SS,182.8426361
YYYY-50-DD 20:50:SS,183.0704498
YYYY-52-DD 20:52:SS,185.3917084
YYYY-54-DD 20:54:SS,183.5120392
YYYY-56-DD 20:56:SS,183.4282837
YYYY-58-DD 20:58:SS,182.6188354
YYYY-00-DD 21:00:SS,186.2756195
YYYY-02-DD 21:02:SS,184.0881958
YYYY-04-DD 21:04:SS,184.553772
YYYY-06-DD 21:06:SS,184.6234894
YYYY-08-DD 21:08:SS,184.2165527
YYYY-10-DD 21:10:SS,186.3894348
YYYY-12-DD 21:12:SS,186.9839478
YYYY-14-DD 21:14:SS,189.1750946
YYYY-16-DD 21:16:SS,186.6151276
YYYY-18-DD 21:18:SS,187.3330231
YYYY-20-DD 21:20:SS,185.1189728
YYYY-22-DD 21:22:SS,185.1245422
YYYY-24-DD 21:24:SS,183.6600647
YYYY-26-DD 21:26:SS,183.9313507
YYYY-28-DD 21:28:SS,183.8962402
YYYY-30-DD 21:30:SS,183.4729767
YYYY-32-DD 21:32:SS,185.801178
YYYY-34-DD 21:34:SS,188.7827759
YYYY-36-DD 21:36:SS,184.3165436
YYYY-38-DD 21:38:SS,183.1335602
YYYY-40-DD 21:40:SS,184.4048767
YYYY-42-DD 21:42:SS,184.1443634
YYYY-44-DD 21:44:SS,183.3355865
YYYY-46-DD 21:46:SS,182.4668579
YYYY-48-DD 21:48:SS,186.3066254
YYYY-50-DD 21:50:SS,186.8636169
YYYY-52-DD 21:52:SS,192.20401
YYYY-54-DD 21:54:SS,184.3516388
YYYY-56-DD 21:56:SS,184.074295
YYYY-58-DD 21:58:SS,185.1225586
YYYY-00-DD 22:00:SS,183.3677979
YYYY-02-DD 22:02:SS,183.569458
YYYY-04-DD 22:04:SS,184.098175
YYYY-06-DD 22:06:SS,185.9589844
YYYY-08-DD 22:08:SS,185.4037933
YYYY-10-DD 22:10:SS,184.3612671
YYYY-12-DD 22:12:SS,185.7143555
YYYY-14-DD 22:14:SS,184.3679352
YYYY-16-DD 22:16:SS,184.5257111
YYYY-18-DD 22:18:SS,184.1795959
YYYY-20-DD 22:20:SS,184.442627
YYYY-22-DD 22:22:SS,184.7026215
YYYY-24-DD 22:24:SS,183.7203827
YYYY-26-DD 22:26:SS,184.7453003
YYYY-28-DD 22:28:SS,182.9958344
YYYY-30-DD 22:30:SS,182.196167
YYYY-32-DD 22:32:SS,183.191864
YYYY-34-DD 22:34:SS,184.8391266
YYYY-36-DD 22:36:SS,183.3386536
YYYY-38-DD 22:38:SS,184.4957123
YYYY-40-DD 22:40:SS,184.731308
YYYY-42-DD 22:42:SS,184.6342468
YYYY-44-DD 22:44:SS,182.7962799
YYYY-46-DD 22:46:SS,182.3155823
YYYY-48-DD 22:48:SS,183.8638458
YYYY-50-DD 22:50:SS,190.5559845
YYYY-52-DD 22:52:SS,182.3144073
YYYY-54-DD 22:54:SS,183.015152
YYYY-56-DD 22:56:SS,185.6063995
YYYY-58-DD 22:58:SS,183.6699524
YYYY-00-DD 23:00:SS,183.3682556
YYYY-02-DD 23:02:SS,182.7718048
YYYY-04-DD 23:04:SS,183.338089
YYYY-06-DD 23:06:SS,183.3271484
YYYY-08-DD 23:08:SS,183.7159729
YYYY-10-DD 23:10:SS,183.620285
YYYY-12-DD 23:12:SS,184.7525177
YYYY-14-DD 23:14:SS,185.4785614
YYYY-16-DD 23:16:SS,185.9155731
YYYY-18-DD 23:18:SS,184.534729
YYYY-20-DD 23:20:SS,183.7756805
YYYY-22-DD 23:22:SS,183.0311432
YYYY-24-DD 23:24:SS,184.1368408
YYYY-26-DD 23:26:SS,183.5734711
YYYY-28-DD 23:28:SS,180.9904938
YYYY-30-DD 23:30:SS,183.0661316
YYYY-32-DD 23:32:SS,184.0541382
YYYY-34-DD 23:34:SS,183.1836243
YYYY-36-DD 23:36:SS,181.2304535
YYYY-38-DD 23:38:SS,181.8894196
YYYY-40-DD 23:40:SS,183.3482208
YYYY-42-DD 23:42:SS,181.5528564
YYYY-44-DD 23:44:SS,182.803772
YYYY-46-DD 23:46:SS,185.8551941
YYYY-48-DD 23:48:SS,184.155426
YYYY-50-DD 23:50:SS,184.1742249
YYYY-52-DD 23:52:SS,191.1742401
YYYY-54-DD 23:54:SS,184.7776489
YYYY-56-DD 23:56:SS,182.8715515
YYYY-58-DD 23:58:SS,183.5962677
YYYY-00-DD 00:00:SS,184.0513306
YYYY-02-DD 00:02:SS,183.2837372
YYYY-04-DD 00:04:SS,183.8576202
YYYY-06-DD 00:06:SS,184.8090363
YYYY-08-DD 00:08:SS,185.8280334
YYYY-10-DD 00:10:SS,183.3761902
YYYY-12-DD 00:12:SS,183.6210327
YYYY-14-DD 00:14:SS,183.4253387
YYYY-16-DD 00:16:SS,188.4646301
YYYY-18-DD 00:18:SS,188.0375977
YYYY-20-DD 00:20:SS,186.4876404
YYYY-22-DD 00:22:SS,187.5895538
YYYY-24-DD 00:24:SS,186.2009735
YYYY-26-DD 00:26:SS,184.5070801
YYYY-28-DD 00:28:SS,182.3201752
YYYY-30-DD 00:30:SS,184.7977905
YYYY-32-DD 00:32:SS,185.4727631
YYYY-34-DD 00:34:SS,190.7799377
YYYY-36-DD 00:36:SS,190.99617
YYYY-38-DD 00:38:SS,191.7231293
YYYY-40-DD 00:40:SS,189.7924347
YYYY-42-DD 00:42:SS,191.2541962
YYYY-44-DD 00:44:SS,192.1532135
YYYY-46-DD 00:46:SS,191.3719025
YYYY-48-DD 00:48:SS,191.6656189
YYYY-50-DD 00:50:SS,199.9557037
YYYY-52-DD 00:52:SS,191.9378967
YYYY-54-DD 00:54:SS,190.0329132
YYYY-56-DD 00:56:SS,195.6367798
YYYY-58-DD 00:58:SS,194.4174347
YYYY-00-DD 01:00:SS,196.258606
YYYY-02-DD 01:02:SS,194.9078674
YYYY-04-DD 01:04:SS,195.1990967
YYYY-06-DD 01:06:SS,196.5867004
YYYY-08-DD 01:08:SS,196.9602356
YYYY-10-DD 01:10:SS,205.6348724
YYYY-12-DD 01:12:SS,197.3098297
YYYY-14-DD 01:14:SS,196.5596619
YYYY-16-DD 01:16:SS,196.5221405
YYYY-18-DD 01:18:SS,196.5361176
YYYY-20-DD 01:20:SS,195.8744812
YYYY-22-DD 01:22:SS,197.098587
YYYY-24-DD 01:24:SS,196.6005859
YYYY-26-DD 01:26:SS,197.2939911
YYYY-28-DD 01:28:SS,197.3227539
